PERIOD,LEAD_SOURCE,LEAD_COUNT
2023-01-01,Barrington,12
2023-01-01,Channel Edge,0
2023-01-01,Google,11
2023-01-01,Lucent,2
2023-01-01,O2C,3
2023-01-01,Other,0
2023-01-01,Policy Chat,1
2023-01-01,Ring 2,2
2023-01-01,Roku,2
2023-01-01,VOXR,0
2023-01-01,Youtube,5
2023-01-01,Regal,2
2023-01-02,Barrington,5
2023-01-02,Channel Edge,1
2023-01-02,Google,16
2023-01-02,Lucent,1
2023-01-02,O2C,2
2023-01-02,Other,2
2023-01-02,Policy Chat,0
2023-01-02,Ring 2,3
2023-01-02,Roku,2
2023-01-02,VOXR,0
2023-01-02,Youtube,8
2023-01-02,Regal,2
2023-01-03,Barrington,8
2023-01-03,Channel Edge,0
2023-01-03,Google,16
2023-01-03,Lucent,4
2023-01-03,O2C,2
2023-01-03,Other,4
2023-01-03,Policy Chat,1
2023-01-03,Ring 2,4
2023-01-03,Roku,4
2023-01-03,VOXR,0
2023-01-03,Youtube,8
2023-01-03,Regal,3
2023-01-04,Barrington,5
2023-01-04,Channel Edge,4
2023-01-04,Google,12
2023-01-04,Lucent,4
2023-01-04,O2C,6
2023-01-04,Other,1
2023-01-04,Policy Chat,0
2023-01-04,Ring 2,2
2023-01-04,Roku,5
2023-01-04,VOXR,1
2023-01-04,Youtube,5
2023-01-04,Regal,0
2023-01-05,Barrington,5
2023-01-05,Channel Edge,1
2023-01-05,Google,26
2023-01-05,Lucent,3
2023-01-05,O2C,3
2023-01-05,Other,1
2023-01-05,Policy Chat,1
2023-01-05,Ring 2,4
2023-01-05,Roku,2
2023-01-05,VOXR,1
2023-01-05,Youtube,6
2023-01-05,Regal,4
2023-01-06,Barrington,5
2023-01-06,Channel Edge,0
2023-01-06,Google,18
2023-01-06,Lucent,0
2023-01-06,O2C,3
2023-01-06,Other,3
2023-01-06,Policy Chat,1
2023-01-06,Ring 2,2
2023-01-06,Roku,1
2023-01-06,VOXR,3
2023-01-06,Youtube,5
2023-01-06,Regal,2
2023-01-07,Barrington,4
2023-01-07,Channel Edge,0
2023-01-07,Google,14
2023-01-07,Lucent,0
2023-01-07,O2C,1
2023-01-07,Other,5
2023-01-07,Policy Chat,2
2023-01-07,Ring 2,6
2023-01-07,Roku,1
2023-01-07,VOXR,0
2023-01-07,Youtube,4
2023-01-07,Regal,1
2023-01-08,Barrington,8
2023-01-08,Channel Edge,2
2023-01-08,Google,9
2023-01-08,Lucent,0
2023-01-08,O2C,3
2023-01-08,Other,1
2023-01-08,Policy Chat,0
2023-01-08,Ring 2,2
2023-01-08,Roku,3
2023-01-08,VOXR,0
2023-01-08,Youtube,7
2023-01-08,Regal,3
2023-01-09,Barrington,2
2023-01-09,Channel Edge,1
2023-01-09,Google,10
2023-01-09,Lucent,3
2023-01-09,O2C,5
2023-01-09,Other,1
2023-01-09,Policy Chat,0
2023-01-09,Ring 2,3
2023-01-09,Roku,3
2023-01-09,VOXR,1
2023-01-09,Youtube,7
2023-01-09,Regal,2
2023-01-10,Barrington,6
2023-01-10,Channel Edge,1
2023-01-10,Google,10
2023-01-10,Lucent,0
2023-01-10,O2C,5
2023-01-10,Other,1
2023-01-10,Policy Chat,1
2023-01-10,Ring 2,0
2023-01-10,Roku,4
2023-01-10,VOXR,1
2023-01-10,Youtube,11
2023-01-10,Regal,2
2023-01-11,Barrington,3
2023-01-11,Channel Edge,3
2023-01-11,Google,13
2023-01-11,Lucent,1
2023-01-11,O2C,4
2023-01-11,Other,1
2023-01-11,Policy Chat,1
2023-01-11,Ring 2,4
2023-01-11,Roku,2
2023-01-11,VOXR,1
2023-01-11,Youtube,11
2023-01-11,Regal,1
2023-01-12,Barrington,9
2023-01-12,Channel Edge,0
2023-01-12,Google,13
2023-01-12,Lucent,0
2023-01-12,O2C,1
2023-01-12,Other,3
2023-01-12,Policy Chat,1
2023-01-12,Ring 2,2
2023-01-12,Roku,1
2023-01-12,VOXR,0
2023-01-12,Youtube,9
2023-01-12,Regal,1
2023-01-13,Barrington,6
2023-01-13,Channel Edge,2
2023-01-13,Google,11
2023-01-13,Lucent,1
2023-01-13,O2C,3
2023-01-13,Other,4
2023-01-13,Policy Chat,1
2023-01-13,Ring 2,2
2023-01-13,Roku,5
2023-01-13,VOXR,1
2023-01-13,Youtube,5
2023-01-13,Regal,1
2023-01-14,Barrington,6
2023-01-14,Channel Edge,3
2023-01-14,Google,13
2023-01-14,Lucent,0
2023-01-14,O2C,5
2023-01-14,Other,5
2023-01-14,Policy Chat,1
2023-01-14,Ring 2,5
2023-01-14,Roku,4
2023-01-14,VOXR,0
2023-01-14,Youtube,8
2023-01-14,Regal,3
2023-01-15,Barrington,9
2023-01-15,Channel Edge,1
2023-01-15,Google,14
2023-01-15,Lucent,0
2023-01-15,O2C,3
2023-01-15,Other,2
2023-01-15,Policy Chat,0
2023-01-15,Ring 2,0
2023-01-15,Roku,2
2023-01-15,VOXR,0
2023-01-15,Youtube,4
2023-01-15,Regal,1
2023-01-16,Barrington,6
2023-01-16,Channel Edge,0
2023-01-16,Google,16
2023-01-16,Lucent,0
2023-01-16,O2C,5
2023-01-16,Other,1
2023-01-16,Policy Chat,2
2023-01-16,Ring 2,1
2023-01-16,Roku,2
2023-01-16,VOXR,0
2023-01-16,Youtube,7
2023-01-16,Regal,0
2023-01-17,Barrington,10
2023-01-17,Channel Edge,3
2023-01-17,Google,11
2023-01-17,Lucent,1
2023-01-17,O2C,7
2023-01-17,Other,7
2023-01-17,Policy Chat,1
2023-01-17,Ring 2,4
2023-01-17,Roku,3
2023-01-17,VOXR,1
2023-01-17,Youtube,5
2023-01-17,Regal,1
2023-01-18,Barrington,5
2023-01-18,Channel Edge,5
2023-01-18,Google,22
2023-01-18,Lucent,1
2023-01-18,O2C,8
2023-01-18,Other,0
2023-01-18,Policy Chat,0
2023-01-18,Ring 2,2
2023-01-18,Roku,1
2023-01-18,VOXR,2
2023-01-18,Youtube,9
2023-01-18,Regal,2
2023-01-19,Barrington,4
2023-01-19,Channel Edge,0
2023-01-19,Google,10
2023-01-19,Lucent,0
2023-01-19,O2C,7
2023-01-19,Other,5
2023-01-19,Policy Chat,0
2023-01-19,Ring 2,2
2023-01-19,Roku,2
2023-01-19,VOXR,0
2023-01-19,Youtube,7
2023-01-19,Regal,2
2023-01-20,Barrington,8
2023-01-20,Channel Edge,0
2023-01-20,Google,9
2023-01-20,Lucent,1
2023-01-20,O2C,4
2023-01-20,Other,0
2023-01-20,Policy Chat,3
2023-01-20,Ring 2,2
2023-01-20,Roku,3
2023-01-20,VOXR,0
2023-01-20,Youtube,4
2023-01-20,Regal,1
2023-01-21,Barrington,4
2023-01-21,Channel Edge,1
2023-01-21,Google,12
2023-01-21,Lucent,0
2023-01-21,O2C,2
2023-01-21,Other,8
2023-01-21,Policy Chat,0
2023-01-21,Ring 2,1
2023-01-21,Roku,3
2023-01-21,VOXR,0
2023-01-21,Youtube,8
2023-01-21,Regal,1
2023-01-22,Barrington,1
2023-01-22,Channel Edge,3
2023-01-22,Google,12
2023-01-22,Lucent,1
2023-01-22,O2C,3
2023-01-22,Other,7
2023-01-22,Policy Chat,0
2023-01-22,Ring 2,2
2023-01-22,Roku,10
2023-01-22,VOXR,0
2023-01-22,Youtube,6
2023-01-22,Regal,7
2023-01-23,Barrington,4
2023-01-23,Channel Edge,0
2023-01-23,Google,8
2023-01-23,Lucent,1
2023-01-23,O2C,3
2023-01-23,Other,0
2023-01-23,Policy Chat,0
2023-01-23,Ring 2,1
2023-01-23,Roku,4
2023-01-23,VOXR,1
2023-01-23,Youtube,5
2023-01-23,Regal,0
2023-01-24,Barrington,8
2023-01-24,Channel Edge,1
2023-01-24,Google,17
2023-01-24,Lucent,2
2023-01-24,O2C,2
2023-01-24,Other,0
2023-01-24,Policy Chat,2
2023-01-24,Ring 2,10
2023-01-24,Roku,2
2023-01-24,VOXR,0
2023-01-24,Youtube,10
2023-01-24,Regal,3
2023-01-25,Barrington,7
2023-01-25,Channel Edge,3
2023-01-25,Google,11
2023-01-25,Lucent,6
2023-01-25,O2C,5
2023-01-25,Other,2
2023-01-25,Policy Chat,0
2023-01-25,Ring 2,3
2023-01-25,Roku,2
2023-01-25,VOXR,1
2023-01-25,Youtube,8
2023-01-25,Regal,6
2023-01-26,Barrington,7
2023-01-26,Channel Edge,2
2023-01-26,Google,9
2023-01-26,Lucent,4
2023-01-26,O2C,5
2023-01-26,Other,1
2023-01-26,Policy Chat,0
2023-01-26,Ring 2,1
2023-01-26,Roku,2
2023-01-26,VOXR,0
2023-01-26,Youtube,5
2023-01-26,Regal,3
2023-01-27,Barrington,13
2023-01-27,Channel Edge,1
2023-01-27,Google,9
2023-01-27,Lucent,1
2023-01-27,O2C,5
2023-01-27,Other,4
2023-01-27,Policy Chat,0
2023-01-27,Ring 2,4
2023-01-27,Roku,2
2023-01-27,VOXR,0
2023-01-27,Youtube,5
2023-01-27,Regal,0
2023-01-28,Barrington,6
2023-01-28,Channel Edge,1
2023-01-28,Google,16
2023-01-28,Lucent,1
2023-01-28,O2C,6
2023-01-28,Other,1
2023-01-28,Policy Chat,0
