PERIOD,LEAD_SOURCE,SOURCE_SALES,SOURCE_PREMIUM
2023-01-01,Barrington,1,285.92
2023-01-01,Channel Edge,0,0.0
2023-01-01,Google,1,205.86
2023-01-01,Lucent,2,851.43
2023-01-01,O2C,0,0.0
2023-01-01,Other,0,0.0
2023-01-01,Policy Chat,0,0.0
2023-01-01,Ring 2,0,0.0
2023-01-01,Roku,1,155.55
2023-01-01,VOXR,1,306.72
2023-01-01,Youtube,0,0.0
2023-01-01,Regal,0,0.0
2023-01-02,Barrington,0,0.0
2023-01-02,Channel Edge,0,0.0
2023-01-02,Google,2,328.71
2023-01-02,Lucent,1,326.8
2023-01-02,O2C,1,245.15
2023-01-02,Other,0,0.0
2023-01-02,Policy Chat,0,0.0
2023-01-02,Ring 2,1,254.09
2023-01-02,Roku,0,0.0
2023-01-02,VOXR,0,0.0
2023-01-02,Youtube,1,138.5
2023-01-02,Regal,1,255.44
2023-01-03,Barrington,2,514.37
2023-01-03,Channel Edge,0,0.0
2023-01-03,Google,5,868.76
2023-01-03,Lucent,0,0.0
2023-01-03,O2C,0,0.0
2023-01-03,Other,0,0.0
2023-01-03,Policy Chat,0,0.0
2023-01-03,Ring 2,0,0.0
2023-01-03,Roku,0,0.0
2023-01-03,VOXR,0,0.0
2023-01-03,Youtube,2,288.67
2023-01-03,Regal,0,0.0
2023-01-04,Barrington,0,0.0
2023-01-04,Channel Edge,0,0.0
2023-01-04,Google,4,572.33
2023-01-04,Lucent,1,312.64
2023-01-04,O2C,0,0.0
2023-01-04,Other,0,0.0
2023-01-04,Policy Chat,0,0.0
2023-01-04,Ring 2,1,236.67
2023-01-04,Roku,1,182.32
2023-01-04,VOXR,1,374.58
2023-01-04,Youtube,1,143.67
2023-01-04,Regal,0,0.0
2023-01-05,Barrington,0,0.0
2023-01-05,Channel Edge,1,206.79
2023-01-05,Google,6,1016.36
2023-01-05,Lucent,0,0.0
2023-01-05,O2C,1,200.22
2023-01-05,Other,0,0.0
2023-01-05,Policy Chat,0,0.0
2023-01-05,Ring 2,0,0.0
2023-01-05,Roku,0,0.0
2023-01-05,VOXR,0,0.0
2023-01-05,Youtube,1,165.14
2023-01-05,Regal,1,333.54
2023-01-06,Barrington,1,299.83
2023-01-06,Channel Edge,0,0.0
2023-01-06,Google,3,441.05
2023-01-06,Lucent,0,0.0
2023-01-06,O2C,1,214.1
